id,name,x,y,min_zoom,url,size,anchor,type,description,location,photo
jingdezhen,景德镇,13767,8373,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,江西省 · 景德镇市,
hefei,合肥,13788,9096,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,安徽省 · 合肥市,
wuhan,武汉,12938,8758,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,湖北省 · 武汉市,
xiaogan,孝感,12795,8852,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,湖北省 · 孝感市,
hanchuan,汉川,12766,8765,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,湖北省 · 汉川市,
harbin,哈尔滨,16546.5,13186.5,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,黑龙江省 · 哈尔滨市,
jiamusi,佳木斯,17664,13500,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,黑龙江省 · 佳木斯市,
yanjiao,雄安新区,13404,11220,7,./assets/anchor.png,"[20.06, 30.62]","[10.03, 30.92]",anchor,占位符,河北省 · 保定市,
daxing,大兴,13481.5,11444.8,7,./assets/anchor.png,"[20.06, 30.62]","[10.03, 30.92]",anchor,占位符,北京市 · 大兴区,
luoyang,洛阳,12363.25,9937.25,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,河南省 · 洛阳市,
guohuayuan,中国国花园,12358.75,9922.25,7,./assets/special_spot/guohuayuan.png,"[45.4, 30.6]","[22.7, 15.3]",land_mark,唯有牡丹真国色，花开时节动京城。,洛阳市 · 洛龙区,./assets/photos/guohuayuan.jpg
longmenshiku,龙门石窟,12369.75,9900.5,7,./assets/special_spot/longmenshiku.png,"[36.0, 50.0]","[18.0, 25.0]",land_mark,占位符,洛阳市 · 洛龙区,
KMG,昆明长水机场,9548.75,7139.25,7,,,,airport,占位符,昆明市 · 官渡区,
PEK,北京首都国际机场,13572.5,11527.75,7,,,,airport,占位符,北京市 · 顺义区,
PKX,北京大兴机场,13521,11362,7,,,,airport,占位符,北京市 · 大兴区,
shanghai,上海,15031,8912,,,,,city_center,占位符,上海市,
shengsi,嵊泗,15317,8775,,,,,anchor,占位符,浙江省 · 舟山市,
jiuzhuribenliaoli,久竹の日本料理居酒屋,15024.25,8930.75,,,,,restaurant,这家店彻底终结了我们对寿司郎的欲望。,上海市 · 静安区,./assets/photos/jiuzhuribenliaoli.jpg
shenjiawan,沈家湾码头,15214.5,8739,,,,,port,位于洋山岛的客运码头，是上海前往嵊泗列岛的集散地。,舟山市 · 嵊泗县,
gouqi,枸杞岛,15410,8773,,,,,port,嵊山岛是嵊泗列岛中最靠东的海岛，其通过三礁江大桥与枸杞岛相连。,舟山市 · 嵊泗县,
shanghaiwaitan,上海外滩,15046.25,8916.5,7,./assets/special_spot/waitan.png,"[40,30]","[20,30]",waitan,这里的一侧，是这个国家百年前的屈辱历史的现实记忆，另一侧，则是这个国家如今跻身于世界民族之林的真实写照。,上海市 · 黄浦区,./assets/photos/waitan.jpeg
donghaidaqiao,东海大桥,15176.5,8779,7,./assets/special_spot/donghaidaqiao.png,"[80,32]","[40,32]",donghaidaqiao,连接上海南汇新城与洋山岛的跨海大桥。,上海市 · 浦东新区,
qingdao,青岛,14689.75,10341.50,,,,,city_center,山东省东部的沿海城市，因环抱胶州湾而成为绝佳的深水良港，历史上曾是重要的贸易和军事要地。因曾被德国殖民者占领而拥有中国大陆为数不多的德式建筑风貌。如今已经是山东省乃至华北地区最发达的城市之一。,山东省 · 青岛市,./assets/photos/qingdao.jpg
shazikou,沙子口,14760.75,10353.50,,,,,anchor,青岛市郊的一座小镇，静静的渔港中停放着尚未出海的渔船，海风轻拂，海浪轻拍，闲适而放松。,山东省 · 青岛市,./assets/photos/shazikou.jpg
laoshan,崂山,14781.00,10374.25,,,,,mountain,位于青岛东北方向的山峰，海拔约1100米，是中国大陆海岸线上的最高峰，也因此形成了中国大陆海岸线上少见的山海齐聚之奇观。 ,山东省 · 青岛市,./assets/photos/laoshan.jpg
matianling,麻田岭,13057.50, 11409.25,,,,,mountain,位于河北省蔚县的山峰，海拔约2000米，因其高山草甸和松树林的风景被称为“京西阿勒泰”。,河北省 · 张家口市,./assets/photos/matianling.jpg
